uid,id,country,gender,group,dt,total_spent,group,join_dt,device,join_dt
1000000,1000000,CAN,M,B,,0,B,2023-01-28,I,2023-01-28
1000001,1000001,BRA,M,A,,0,A,2023-01-27,A,2023-01-27
1000002,1000002,FRA,M,A,,0,A,2023-02-01,A,2023-02-01
1000003,1000003,BRA,M,B,,0,B,2023-01-25,I,2023-01-25
1000004,1000004,DEU,F,A,,0,A,2023-02-04,A,2023-02-04
1000005,1000005,GBR,F,B,,0,B,2023-01-26,A,2023-01-26
1000006,1000006,ESP,M,B,,0,B,2023-01-31,A,2023-01-31
1000007,1000007,BRA,F,A,,0,A,2023-01-25,A,2023-01-25
1000008,1000008,BRA,F,A,,0,A,2023-02-05,A,2023-02-05
1000009,1000009,USA,,A,,0,A,2023-01-31,A,2023-01-31
1000010,1000010,BRA,M,B,,0,B,2023-02-01,I,2023-02-01
1000012,1000012,USA,M,B,,0,B,2023-01-25,A,2023-01-25
1000013,1000013,GBR,F,A,,0,A,2023-01-25,A,2023-01-25
1000014,1000014,USA,M,A,,0,A,2023-01-28,A,2023-01-28
1000015,1000015,AUS,F,A,,0,A,2023-01-29,A,2023-01-29
1000016,1000016,DEU,F,A,,0,A,2023-01-28,I,2023-01-28
1000017,1000017,MEX,O,B,,0,B,2023-01-26,A,2023-01-26
1000018,1000018,USA,M,B,,0,B,2023-01-26,I,2023-01-26
1000019,1000019,MEX,F,B,,0,B,2023-01-25,A,2023-01-25
1000020,1000020,AUS,M,A,,0,A,2023-02-01,A,2023-02-01
1000021,1000021,GBR,M,B,,0,B,2023-01-29,A,2023-01-29
1000022,1000022,DEU,F,B,,0,B,2023-01-25,A,2023-01-25
1000023,1000023,BRA,M,B,,0,B,2023-01-29,I,2023-01-29
1000024,1000024,CAN,M,A,,0,A,2023-01-25,A,2023-01-25
1000025,1000025,USA,M,A,,0,A,2023-01-25,I,2023-01-25
1000026,1000026,DEU,F,B,,0,B,2023-01-27,A,2023-01-27
1000027,1000027,BRA,,B,,0,B,2023-01-31,I,2023-01-31
